percentage,result,mz,rt,scan,max_intensity
10,0,[116.07068634 116.07055664],[441.211 451.194],[339 347],4609090.0
20,0,[116.07068634 116.07069397],[441.211 462.781],[339 356],11080845.0
30,0,[116.07068634 116.07064056],[441.211 472.896],[339 364],14503865.0
40,0,[116.07068634 116.07061005],[441.211 484.11 ],[339 373],15254817.0
50,0,[116.07068634 116.07055664],[441.211 495.355],[339 382],15254817.0
60,0,[116.07068634 116.07059479],[441.211 505.389],[339 390],15254817.0
70,0,[116.07068634 116.07061768],[441.211 516.578],[339 399],15254817.0
80,0,[116.07068634 116.07060242],[441.211 527.013],[339 407],15254817.0
90,1,[116.07068634 116.07057953],[441.211 538.322],[339 416],15254817.0
100,1,[116.07068634 116.07061768],[441.211 548.591],[339 424],15254817.0
